	Area	All Races Population	White Population	Black Population	Asian/Pacific Islander Population	American Indian/Alaska Native Population	Hispanic Population
	United States	282,162,411	230,482,882	36,728,709	11,957,499	2,993,321	35,658,334
	Northeast	53,666,295	44,234,458	6,852,479	2,349,396	229,962	5,306,384
	New England	13,949,721	12,608,930	867,494	417,912	55,385	884,791
	Connecticut	3,411,777	2,956,812	349,054	93,037	12,874	323,852
	Maine	1,277,072	1,249,687	8,818	10,392	8,175	9,421
	Massachusetts	6,361,104	5,648,923	428,547	262,720	20,914	433,611
	New Hampshire	1,239,882	1,206,636	11,612	17,950	3,684	20,697
	Rhode Island	1,050,268	950,236	65,323	27,967	6,742	91,654
	Vermont	609,618	596,636	4,140	5,846	2,996	5,556
	Middle Atlantic	39,716,574	31,625,528	5,984,985	1,931,484	174,577	4,421,593
	New Jersey	8,430,621	6,636,782	1,244,586	520,125	29,128	1,128,903
	New York	19,001,780	14,266,524	3,443,462	1,169,860	121,934	2,894,316
	Pennsylvania	12,284,173	10,722,222	1,296,937	241,499	23,515	398,374
	Midwest	64,491,431	55,874,338	6,802,748	1,341,237	473,108	3,156,951
	East North Central	45,216,019	38,383,402	5,628,572	981,506	222,539	2,503,410
	Illinois	12,434,161	9,987,835	1,936,532	465,619	44,175	1,544,165
	Indiana	6,091,866	5,467,894	535,729	68,820	19,423	217,326
	Michigan	9,952,450	8,212,336	1,468,133	198,057	73,924	327,050
	Ohio	11,363,543	9,816,775	1,364,281	150,403	32,084	219,498
	Wisconsin	5,373,999	4,898,562	323,897	98,607	52,933	195,371
	West North Central	19,275,412	17,490,936	1,174,176	359,731	250,569	653,541
	Iowa	2,929,067	2,807,230	70,592	40,863	10,382	83,414
	Kansas	2,693,681	2,441,127	168,056	53,613	30,885	190,633
	Minnesota	4,933,692	4,517,069	196,652	157,285	62,686	145,301
	Missouri	5,607,285	4,849,650	652,894	73,199	31,542	119,859
	Nebraska	1,713,820	1,596,727	74,826	25,275	16,992	95,505
	North Dakota	642,023	599,950	4,971	4,344	32,758	7,834
	South Dakota	755,844	679,183	6,185	5,152	65,324	10,995
	South	100,565,549	77,929,097	19,582,425	2,205,128	848,899	11,722,320
	South Atlantic	51,962,946	39,001,603	11,428,526	1,262,541	270,276	4,301,206
	Delaware	786,373	606,974	157,960	18,099	3,340	37,834
	District of Columbia	572,046	198,987	353,464	17,261	2,334	45,266
	Florida	16,047,515	13,181,468	2,480,129	319,911	66,007	2,717,081
	Georgia	8,227,303	5,594,789	2,410,079	195,893	26,542	441,576
	Maryland	5,311,034	3,528,118	1,530,353	232,666	19,897	231,155
	North Carolina	8,081,614	6,057,606	1,785,118	131,601	107,289	385,209
	South Carolina	4,024,223	2,761,785	1,204,830	42,160	15,448	96,470
	Virginia	7,105,817	5,340,360	1,445,626	294,156	25,675	334,268
	West Virginia	1,807,021	1,731,516	60,967	10,794	3,744	12,347
	East South Central	17,053,266	13,354,467	3,476,925	157,777	64,097	303,350
	Alabama	4,452,173	3,219,856	1,170,617	36,561	25,139	77,016
	Kentucky	4,049,021	3,695,886	309,072	34,637	9,426	60,730
	Mississippi	2,848,353	1,771,404	1,043,359	21,209	12,381	40,032
	Tennessee	5,703,719	4,667,321	953,877	65,370	17,151	125,572
	West South Central	31,549,337	25,573,027	4,676,974	784,810	514,526	7,117,764
	Arkansas	2,678,588	2,206,753	427,259	24,539	20,037	87,804
	Louisiana	4,471,885	2,912,040	1,470,682	61,184	27,979	108,997
	Oklahoma	3,454,365	2,804,575	280,566	55,505	313,719	181,095
	Texas	20,944,499	17,649,659	2,498,467	643,582	152,791	6,739,868
	West	63,439,136	52,444,989	3,491,057	6,061,738	1,441,352	15,472,679
	Mountain	18,269,457	16,522,304	608,852	456,245	682,056	3,582,513
	Arizona	5,160,586	4,578,915	184,843	116,826	280,002	1,309,389
	Colorado	4,326,921	3,963,927	189,870	115,175	57,949	745,292
	Idaho	1,299,430	1,255,601	7,683	15,465	20,681	103,038
	Montana	903,773	833,789	4,056	5,846	60,082	18,191
	Nevada	2,018,741	1,721,264	151,556	113,857	32,064	400,260
	New Mexico	1,821,204	1,567,912	42,775	25,345	185,172	769,988
	Utah	2,244,502	2,127,048	23,349	60,207	33,898	204,356
	Wyoming	494,300	473,848	4,720	3,524	12,208	31,999
	Pacific	45,169,679	35,922,685	2,882,205	5,605,493	759,296	11,890,166
	Alaska	627,963	461,096	26,707	32,194	107,966	25,963
	California	33,987,977	26,811,620	2,523,792	4,175,057	477,508	11,054,553
	Hawaii	1,213,519	294,857	30,408	883,960	4,294	84,438
	Oregon	3,429,708	3,178,549	69,705	124,279	57,175	278,259
	Washington	5,910,512	5,176,563	231,593	390,003	112,353	446,953
